ilgan,birth_month,primary_element,secondary_element,reason
甲,寅,火,水,丙癸 필요 - 태양과 빗물
甲,卯,金,火,庚丙 필요 - 제살 후 온기
甲,辰,金,火,庚丁壬 필요 - 목기 왕해 제살 우선
甲,巳,水,金,癸庚 필요 - 조후 수분 급선무
甲,午,水,金,癸庚 필요 - 수원 보충
甲,未,水,金,癸庚 필요 - 조후
甲,申,金,火,庚丁 필요 - 벽갑인화 구조
甲,酉,金,火,庚丙 필요
甲,戌,木,火,甲丁 필요 - 토왕 소토
甲,亥,金,火,庚丁丙 필요 - 조후 화 필수
甲,子,火,火,丁丙 필요 - 동목향양 오직 불 우선
甲,丑,火,金,丁丙庚 필요
乙,寅,火,水,丙癸 필요
乙,卯,火,水,丙癸 필요
乙,辰,水,火,癸丙 필요
乙,巳,水,水,癸 필요 - 조후 절대적
乙,午,水,火,癸丙 필요
乙,未,水,水,癸 필요
乙,申,火,水,丙癸己 필요
乙,酉,水,火,癸丙 필요 - 칠살 제어
乙,戌,水,金,癸辛 필요
乙,亥,火,土,丙戊 필요 - 수다목부 방지
乙,子,火,土,丙戊 필요
乙,丑,火,土,丙戊 필요
丙,寅,水,金,壬庚 필요 - 수보양광
丙,卯,水,土,壬己 필요
丙,辰,水,木,壬甲 필요
丙,巳,水,金,壬庚 필요 - 여름 병화 임수 고정
丙,午,水,金,壬庚 필요
丙,未,水,金,壬庚 필요
丙,申,水,土,壬戊 필요
丙,酉,水,金,壬辛 필요
丙,戌,木,水,甲壬 필요 - 회기무광 방지
丙,亥,木,土,甲戊庚 필요 - 살중신경 제어
丙,子,水,土,壬戊 필요
丙,丑,水,土,壬己 필요
丁,寅,木,金,甲庚 필요 - 벽갑인화
丁,卯,金,木,庚甲 필요
丁,辰,木,金,甲庚 필요
丁,巳,木,金,甲庚 필요
丁,午,水,金,壬庚 필요 - 달아오른 열기 제어
丁,未,木,金,甲庚 필요
丁,申,木,火,甲丙 필요 - 안갯속 등불 구원
丁,酉,木,金,甲庚丙 필요
丁,戌,木,金,甲庚 필요
丁,亥,木,金,甲庚 필요
丁,子,木,火,甲庚丙 필요 - 동절 야간 등불 보강
丁,丑,木,火,甲庚丙 필요
戊,寅,火,木,丙甲癸 필요 - 조후와 소토 동시
戊,卯,火,木,丙甲癸 필요
戊,辰,木,火,甲丙癸 필요
戊,巳,木,水,甲丙癸 필요 - 조후 수분 필수
戊,午,水,木,壬甲丙 필요 - 메마른 땅
戊,未,水,火,癸丙甲 필요
戊,申,火,水,丙癸甲 필요 - 가을 흙 따뜻하게
戊,酉,火,水,丙癸 필요
戊,戌,木,火,甲丙癸 필요
戊,亥,火,木,丙甲 필요 - 동토 녹이는 불 최우선
戊,子,火,木,丙甲 필요
戊,丑,火,木,丙甲 필요
己,寅,火,木,丙庚甲 필요
己,卯,火,木,丙甲癸 필요
己,辰,火,水,丙癸甲 필요 - 논밭에 햇볕과 물
己,巳,水,金,癸丙辛 필요
己,午,水,火,癸丙 필요
己,未,水,火,癸丙 필요
己,申,火,水,丙癸 필요
己,酉,火,水,丙癸 필요
己,戌,木,火,甲丙癸 필요
己,亥,火,木,丙甲 필요 - 겨울 기토 丙火 없으면 불능
己,子,火,木,丙甲 필요
己,丑,火,木,丙甲 필요
庚,寅,土,木,戊甲丙 필요
庚,卯,火,木,丁甲 필요 - 원석 녹여 기물 제조
庚,辰,木,火,甲丁壬 필요
庚,巳,水,土,壬戊丙 필요
庚,午,水,水,壬癸 필요 - 강렬한 화기 식히기
庚,未,火,木,丁甲 필요
庚,申,火,木,丁甲 필요 - 득령한 칼날 다듬기
庚,酉,火,木,丁甲 필요
庚,戌,木,水,甲壬 필요 - 토다매금 방지
庚,亥,火,火,丁丙 필요 - 금한수랭 조후
庚,子,火,火,丁丙 필요
庚,丑,火,木,丁丙甲 필요
辛,寅,土,水,己壬庚 필요
辛,卯,水,木,壬甲 필요 - 보석을 물로 씻어내기
辛,辰,水,木,壬甲 필요
辛,巳,水,木,壬甲 필요
辛,午,水,土,壬己 필요 - 화극금 방지 지윤
辛,未,水,金,壬庚 필요
辛,申,水,木,壬甲 필요 - 도세주옥 고정
辛,酉,水,木,壬甲 필요
辛,戌,水,木,壬甲 필요 - 토다매금 방지
辛,亥,水,火,壬丙 필요
辛,子,火,水,丙壬 필요 - 얼어붙은 물 녹이기
辛,丑,火,水,丙壬己 필요
壬,寅,金,火,庚丙 필요
壬,卯,土,金,戊辛 필요
壬,辰,木,金,甲庚 필요 - 봄철 범람 제어
壬,巳,水,金,壬辛庚 필요 - 끊임없는 수원
壬,午,水,金,癸庚 필요
壬,未,金,木,辛甲 필요
壬,申,土,火,戊丁 필요 - 물줄기 가두는 제방
壬,酉,木,金,甲庚 필요
壬,戌,木,火,甲丙 필요
壬,亥,土,火,戊丙 필요 - 왕성한 물 가두기
壬,子,土,火,戊丙 필요
壬,丑,火,木,丙甲 필요
癸,寅,金,火,辛丙 필요
癸,卯,金,金,庚辛 필요 - 마르지 않는 샘물
癸,辰,火,金,丙辛甲 필요
癸,巳,金,金,辛 필요 - 여름 증발 방지 원천
癸,午,金,水,庚辛壬 필요
癸,未,金,水,庚辛壬 필요
癸,申,火,火,丁 필요
癸,酉,金,火,辛丙 필요
癸,戌,金,木,辛甲壬 필요
癸,亥,金,火,庚辛丁 필요
癸,子,火,金,丙辛 필요 - 꽁꽁 언 밤하늘 녹이기
癸,丑,火,火,丙丁甲 필요
