number,gilhyung,description
1,大吉,"태극수(太極數). 만물이 시작되는 근원의 자리로, 하늘이 처음 열릴 때의 기운을 품고 있다. 스스로 길을 개척하는 선구자의 별이라 불리며, 남이 닦아놓은 길보다 자신이 처음 내는 길에서 진가를 발휘하는 경향이 있다. 강한 의지와 독창적인 사고로 어떤 환경에서도 중심을 잡아가며, 리더십과 창조력이 자연스럽게 배어나오는 기운이다. 다만 지나치게 독립적인 성향이 협력을 방해할 수 있으니, 주변을 끌어안는 여유를 함께 키워가면 더욱 빛나는 이름이 되어줄 것이다."
2,凶,"분열과 이별의 수. 두 개로 나뉘는 기운이 강하여 시작은 있으나 마무리가 약해지기 쉽고, 협력보다 단절이 앞서는 흐름이 나타날 수 있다. 의지력이 흔들릴 때 주변과의 불화가 잦아지며, 홀로 감당해야 할 짐이 무거워지기 쉬운 기운이다. 인간관계에서 오해와 이별을 반복해볼 수 있으며, 건강 면에서도 기복이 나타나기 쉽다. 다만 분열의 경험이 깊어질수록 진정한 자기 자신을 발견하는 계기가 되어주기도 한다."
3,吉,"지모와 명예의 수. 총명하고 언변이 뛰어나 사람을 이끄는 자연스러운 힘을 갖추어가는 기운이다. 문학·예술·학문 방면에서 재능이 두드러지며, 꾸준한 노력이 결실을 맺어 주변의 인정과 명성을 얻어볼 수 있다. 사교적이고 밝은 기운이 주변을 환하게 밝히며, 어디서나 환영받는 분위기를 만들어가는 경향이 있다. 말과 글로 사람의 마음을 움직이는 힘이 있어, 교육·언론·예술 방면에서 두각을 나타내볼 수 있다. 다만 재능에 비해 끈기가 부족해질 수 있으니, 시작한 일을 마무리하는 습관을 들이는 것이 중요하다."
4,凶,"파멸의 수. 재능은 뛰어나나 의지가 흔들려 노력이 결실로 이어지지 못하는 안타까운 기운이다. 고난과 좌절이 반복되고, 건강·재물·인간관계 모두에서 불안정한 흐름이 이어지기 쉽다. 애써 이룬 것이 손에서 빠져나가는 경험이 반복되며, 주변의 도움도 결정적인 순간에 엇갈리는 경우가 잦다. 그러나 이 수리는 시련 속에서 단련된 사람이 결국 가장 단단해진다는 역설적인 교훈을 품고 있기도 하다. 다른 격(格)이 강하게 보완해준다면 그 파장을 줄여볼 수 있다."
5,大吉,"복덕과 장수의 수. 하늘과 땅의 중심에 해당하는 오행(五行)의 수로, 인덕이 두텁고 건강하며 보이지 않는 음덕이 쌓여가는 기운이다. 큰 욕심 없이 성실하게 나아가면 자연스럽게 주변의 도움이 따라오며, 평탄하고 복된 삶을 살아볼 수 있는 기운이다. 특히 가정의 화목과 건강 면에서 탁월한 기운을 발휘하며, 노후까지 안정된 삶을 누려볼 수 있는 경우가 많다. 급하게 서두르지 않아도 때가 되면 문이 열리는 운이므로, 조급함을 내려놓고 자신의 속도로 나아가는 것이 이 이름의 진가를 살리는 길이다."
6,吉,"복록과 안정의 수. 가정의 화목과 사회적 신뢰를 함께 얻어가는 균형 잡힌 기운이다. 조급하지 않고 꾸준히 나아가는 기질로 점진적인 발전을 이루어가며, 인복이 풍성하고 노후까지 안정이 지속되는 흐름이 있다. 성실하고 신중한 태도가 주변의 신뢰를 쌓아가며, 오랜 시간에 걸쳐 탄탄한 기반을 만들어가는 유형이다. 빠르게 빛나지는 않아도 꾸준히 빛을 발하는 이름으로, 오래될수록 그 진가가 드러나는 기운이다. 다만 지나친 신중함이 기회를 놓치게 할 수 있으니, 결단이 필요한 순간에는 과감하게 나아가는 용기도 필요하다."
7,吉,"독립과 강건의 수. 굳은 신념과 뛰어난 실행력으로 소망을 하나씩 이루어가는 기운이다. 자수성가의 별로, 어려움 속에서도 꺾이지 않는 의지가 결국 빛나는 성취를 만들어가는 흐름이다. 혼자 힘으로 길을 개척하는 데서 가장 큰 보람을 느끼며, 스스로의 힘을 믿는 자립심이 강한 편이다. 강한 개성과 뚝심이 때로는 고집으로 비칠 수 있으나, 그 신념이 있기에 남들이 포기한 자리에서 결실을 거두어볼 수 있다. 의리와 신의를 중시하여 한번 맺은 인연을 소중히 여기는 따뜻한 면도 있다."
8,吉,"발전과 성공의 수. 강인한 의지와 부지런함이 결실을 맺어가는 기운으로, 타고난 끈기로 어떤 역경도 돌파해가는 흐름이 있다. 노력이 누적되어 중년 이후 뚜렷한 성과와 명예를 함께 얻어볼 수 있는 운이며, 한 번 마음먹은 일은 반드시 이루어내려는 추진력이 있다. 처음에는 더디게 느껴지더라도 시간이 지날수록 그 성과가 선명해지는 구조이므로, 조급해하지 않고 꾸준함을 유지하는 것이 핵심이다. 건강하고 활동적인 기운이 강하여 체력적으로도 강인한 면을 보이는 경향이 있다."
9,凶,"궁핍과 고독의 수. 일시적인 성공은 있으나 그것이 오래가지 못하고 무너지기 쉬운 기운이다. 재물과 좋은 인연이 손에 잡힐 듯 빠져나가고, 고독함과 번민이 반복되는 파란만장한 흐름이 나타날 수 있다. 다만 이 수리는 뛰어난 감수성과 직관을 함께 품고 있어, 예술·철학·영성의 영역에서 남다른 깊이를 발휘해볼 수 있다. 삶의 굴곡이 크지만 그 경험이 쌓여 깊은 내공이 되는 유형으로, 다른 격(格)이 잘 받쳐준다면 파란을 지혜로 승화시키는 힘이 생겨날 수 있다."
10,凶,"공망과 허무의 수. 열심히 노력해도 결실이 사라지는 느낌이 드는 기운이다. 시작은 있으나 끝을 보지 못하고 흩어지기 쉬우며, 건강과 재물 모두에서 공허함이 따르기 쉽다. 인간관계에서도 진심이 전달되지 않거나 오해가 생기는 일이 잦고, 노력에 비해 인정받지 못하는 억울함을 겪어볼 수 있다. 그러나 비움의 경험이 깊어질수록 진정 소중한 것을 알아보는 안목이 생기며, 영적·철학적 깊이로 이어지는 경우도 있다. 다른 격이 강하다면 그 공허함을 메워볼 수 있다."
